SURVEY_DATE,SEASON,SKY_CONDITION_CODE,BUILDING_NAME,BUILDING_CODE,FACADE,SURVEY_START_TIME,SURVEY_END_TIME,SURVEYOR,EVIDENCE_FOUND,TYPE_OF_COLLISION,COLLISION_TYPE_CATEGORY,GROUND_OR_WINDOW,NUMBER_OF_FEATHERS,SPECIES_ID,CODE,TAXONOMIC_GROUPING
1/22/20,Winter,6,Michael Williams Building,MWB,MWB6,13:59,14:10,JO,N,none,n,n,n,NA,2020-01-22 MWB6 NA,
1/22/20,Winter,6,Michael Williams Building,MWB,MWB7,13:59,14:10,JO,N,none,n,n,n,NA,2020-01-22 MWB7 NA,
1/22/20,Winter,6,Michael Williams Building,MWB,MWB8,13:59,14:10,JO,N,none,n,n,n,NA,2020-01-22 MWB8 NA,
1/22/20,Winter,6,Michael Williams Building,MWB,MWB9,13:59,14:10,JO,N,none,n,n,n,NA,2020-01-22 MWB9 NA,
1/22/20,Winter,6,David Turpin Building,DTB,DTB1,14:11,14:21,JO,N,none,n,n,n,NA,2020-01-22 DTB1 NA,
1/22/20,Winter,6,David Turpin Building,DTB,DTB2,14:11,14:21,JO,N,none,n,n,n,NA,2020-01-22 DTB2 NA,
1/22/20,Winter,6,David Turpin Building,DTB,DTB3,14:11,14:21,JO,N,none,n,n,n,NA,2020-01-22 DTB3 NA,
1/22/20,Winter,6,David Turpin Building,DTB,DTB4,14:11,14:21,JO,N,none,n,n,n,NA,2020-01-22 DTB4 NA,
1/22/20,Winter,6,David Turpin Building,DTB,DTB5,14:11,14:21,JO,N,none,n,n,n,NA,2020-01-22 DTB5 NA,
1/22/20,Winter,6,David Turpin Building,DTB,DTB6,14:11,14:21,JO,N,none,n,n,n,NA,2020-01-22 DTB6 NA,
1/22/20,Winter,6,David Turpin Building,DTB,DTB7,14:11,14:21,JO,N,none,n,n,n,NA,2020-01-22 DTB7 NA,
1/22/20,Winter,6,David Turpin Building,DTB,DTB8,14:11,14:21,JO,N,none,n,n,n,NA,2020-01-22 DTB8 NA,
1/22/20,Winter,6,David Turpin Building,DTB,DTB9,14:11,14:21,JO,N,none,n,n,n,NA,2020-01-22 DTB9 NA,
1/23/20,Winter,2,Medical Sciences Building,MSB,MSB1,13:07,13:16,JO,N,none,n,n,n,NA,2020-01-23 MSB1 NA,
1/23/20,Winter,2,Medical Sciences Building,MSB,MSB2,13:07,13:16,JO,N,none,n,n,n,NA,2020-01-23 MSB2 NA,
1/23/20,Winter,2,Medical Sciences Building,MSB,MSB3,13:07,13:16,JO,N,none,n,n,n,NA,2020-01-23 MSB3 NA,
1/23/20,Winter,2,Medical Sciences Building,MSB,MSB4,13:07,13:16,JO,N,none,n,n,n,NA,2020-01-23 MSB4 NA,
1/23/20,Winter,2,Medical Sciences Building,MSB,MSB5,13:07,13:16,JO,N,none,n,n,n,NA,2020-01-23 MSB5 NA,
1/23/20,Winter,2,Medical Sciences Building,MSB,MSB6,13:07,13:16,JO,N,none,n,n,n,NA,2020-01-23 MSB6 NA,
1/23/20,Winter,2,Medical Sciences Building,MSB,MSB7,13:07,13:16,JO,N,none,n,n,n,NA,2020-01-23 MSB7 NA,
1/23/20,Winter,2,Engineering Office Wing,EOW,EOW1,13:20,13:29,JO,N,none,n,n,n,NA,2020-01-23 EOW1 NA,
1/23/20,Winter,2,Engineering Office Wing,EOW,EOW2,13:20,13:29,JO,N,none,n,n,n,NA,2020-01-23 EOW2 NA,
1/23/20,Winter,2,Engineering Office Wing,EOW,EOW3,13:20,13:29,JO,N,none,n,n,n,NA,2020-01-23 EOW3 NA,
1/23/20,Winter,2,Engineering Office Wing,EOW,EOW4,13:20,13:29,JO,N,none,n,n,n,NA,2020-01-23 EOW4 NA,
1/23/20,Winter,2,Engineering Office Wing,EOW,EOW5,13:20,13:29,JO,N,none,n,n,n,NA,2020-01-23 EOW5 NA,
1/23/20,Winter,2,Engineering Office Wing,EOW,EOW6,13:20,13:29,JO,N,none,n,n,n,NA,2020-01-23 EOW6 NA,
1/23/20,Winter,2,University Centre,UVC,UVC1,13:35,13:55,JO,N,none,n,n,n,NA,2020-01-23 UVC1 NA,
1/23/20,Winter,2,University Centre,UVC,UVC10,13:35,13:55,JO,N,none,n,n,n,NA,2020-01-23 UVC10 NA,
1/23/20,Winter,2,University Centre,UVC,UVC11,13:35,13:55,JO,N,none,n,n,n,NA,2020-01-23 UVC11 NA,
1/23/20,Winter,2,University Centre,UVC,UVC2,13:35,13:55,JO,N,none,n,n,n,NA,2020-01-23 UVC2 NA,
1/23/20,Winter,2,University Centre,UVC,UVC3,13:35,13:55,JO,N,none,n,n,n,NA,2020-01-23 UVC3 NA,
1/23/20,Winter,2,University Centre,UVC,UVC4,13:35,13:55,JO,N,none,n,n,n,NA,2020-01-23 UVC4 NA,
1/23/20,Winter,2,University Centre,UVC,UVC5,13:35,13:55,JO,N,none,n,n,n,NA,2020-01-23 UVC5 NA,
1/23/20,Winter,2,University Centre,UVC,UVC6,13:35,13:55,JO,N,none,n,n,n,NA,2020-01-23 UVC6 NA,
1/23/20,Winter,2,University Centre,UVC,UVC7,13:35,13:55,JO,N,none,n,n,n,NA,2020-01-23 UVC7 NA,
1/23/20,Winter,2,University Centre,UVC,UVC8,13:35,13:55,JO,N,none,n,n,n,NA,2020-01-23 UVC8 NA,
1/23/20,Winter,2,University Centre,UVC,UVC9,13:35,13:55,JO,N,none,n,n,n,NA,2020-01-23 UVC9 NA,
1/23/20,Winter,2,Michael Williams Building,MWB,MWB1,13:58,14:10,JO,N,none,n,n,n,NA,2020-01-23 MWB1 NA,
1/23/20,Winter,2,Michael Williams Building,MWB,MWB10,13:58,14:10,JO,N,none,n,n,n,NA,2020-01-23 MWB10 NA,
1/23/20,Winter,2,Michael Williams Building,MWB,MWB2,13:58,14:10,JO,N,none,n,n,n,NA,2020-01-23 MWB2 NA,
1/23/20,Winter,2,Michael Williams Building,MWB,MWB3,13:58,14:10,JO,N,none,n,n,n,NA,2020-01-23 MWB3 NA,
1/23/20,Winter,2,Michael Williams Building,MWB,MWB4,13:58,14:10,JO,N,none,n,n,n,NA,2020-01-23 MWB4 NA,
1/23/20,Winter,2,Michael Williams Building,MWB,MWB5,13:58,14:10,JO,N,none,n,n,n,NA,2020-01-23 MWB5 NA,
1/23/20,Winter,2,Michael Williams Building,MWB,MWB6,13:58,14:10,JO,N,none,n,n,n,NA,2020-01-23 MWB6 NA,
1/23/20,Winter,2,Michael Williams Building,MWB,MWB7,13:58,14:10,JO,N,none,n,n,n,NA,2020-01-23 MWB7 NA,
1/23/20,Winter,2,Michael Williams Building,MWB,MWB8,13:58,14:10,JO,N,none,n,n,n,NA,2020-01-23 MWB8 NA,
